L-firstStep;L-lastStep;L-meanAmplMidSwing;L-amplDiffTCIC;L-meanStride;L-meanStance;L-meanSwing;L-SwingStride;L-StanceStride;L-meanOneLegStance;L-meanDoubleLegSupport;L-oneLegStanceStride;L-doubleLegSupportStride;L-weg;L-meanStrideLen;L-meanStepHeight;L-aufsetzwinkel;L-abrollwinkel;L-velocity;L-velocity2;L-cadence;L-OKtilt;L-ROMShoulderX;L-ROMShoulderY;L-ROMShoulderZ;L-meanROMHipX;L-meanROMSpineX;L-meanROMHipY;L-meanROMSpineY;L-meanROMHipZ;L-meanROMSpineZ;L-StrideLength;L-StrideLength2;L-StepLength;R-firstStep;R-lastStep;R-meanAmplMidSwing;R-amplDiffTCIC;R-meanStride;R-meanStance;R-meanSwing;R-SwingStride;R-StanceStride;R-meanOneLegStance;R-meanDoubleLegSupport;R-oneLegStanceStride;R-doubleLegSupportStride;R-weg;R-meanStrideLen;R-meanStepHeight;R-aufsetzwinkel;R-abrollwinkel;R-velocity;R-velocity2;R-cadence;R-OKtilt;R-ROMShoulderX;R-ROMShoulderY;R-ROMShoulderZ;R-meanROMHipX;R-meanROMSpineX;R-meanROMHipY;R-meanROMSpineY;R-meanROMHipZ;R-meanROMSpineZ;R-StrideLength;R-StrideLength2;R-StepLength;S-lastStep;S-meanAmplMidSwing;S-amplDiffTCIC;S-meanStride;S-meanStance;S-meanSwing;S-SwingStride;S-StanceStride;S-meanOneLegStance;S-meanDoubleLegSupport;S-oneLegStanceStride;S-doubleLegSupportStride;S-weg;S-meanStrideLen;S-meanStepHeight;S-aufsetzwinkel;S-abrollwinkel;S-cadence;S-meanROMHipX;S-meanROMSpineX;S-meanROMHipY;S-meanROMSpineY;S-meanROMHipZ;S-meanROMSpineZ;S-StrideLength2;S-StepLength;P-Altersklasse;P-Geschlecht
5.91262;18.42718;161.09248;37.57875;1.07551;0.59978;0.47282;44.09729;55.90271;0.45631;0.14887;42.42728;13.84152;12.90602;1.28315;0.11813;9.39700;-22.83232;76.71063;1.27851;111.57472;19.60525;0.08076;0.06493;0.10640;8.47464;4.02765;3.85520;3.22092;9.69777;4.53053;1.33333;1.37505;0.76683;5.04854;18.77670;385.35258;99.97090;1.07282;0.62330;0.45631;42.21719;57.78281;0.47282;0.14779;44.07240;13.77577;13.90160;1.35828;0.10840;20.42355;-56.19131;76.71063;1.27851;111.85520;19.60525;0.08076;0.06493;0.10640;8.51876;4.15977;3.86034;3.27131;9.75776;4.53519;1.23077;1.37161;0.79690;1.87891;82.07965;90.71945;-0.25107;3.84548;-3.55277;-4.35639;3.30754;3.55277;-0.72727;3.80375;-0.47621;7.42758;5.68856;-8.59422;73.95266;84.42789;0.25107;0.52114;3.24687;0.04015;1.70400;1.03696;0.18308;-0.25107;3.84548;2.00000;0.00000
3.77670;15.93204;156.31426;46.12050;1.04962;0.59547;0.45243;43.18602;56.81398;0.43778;0.17260;41.70793;16.44399;13.19638;1.29987;0.09487;9.35772;-22.14945;78.97764;1.31629;114.32682;19.60525;0.08076;0.06493;0.10640;8.47464;4.02765;3.85520;3.22092;9.69777;4.53053;1.33333;1.38161;0.78381;3.16505;16.49515;387.19450;71.11909;1.05146;0.62233;0.43778;41.22387;58.77613;0.45243;0.16181;43.02862;15.38935;13.82483;1.31827;0.08697;18.55897;-56.80888;78.97764;1.31629;114.12742;19.60525;0.08076;0.06493;0.10640;8.51876;4.15977;3.86034;3.27131;9.75776;4.53519;1.23077;1.38403;0.81917;3.47305;84.95916;42.64531;0.17456;4.41137;-3.29169;-4.64910;3.39501;3.29169;-6.45161;3.11717;-6.62599;4.65150;1.40574;-8.68400;65.91934;87.79171;-0.17456;0.52114;3.24687;0.04015;1.70400;1.03696;0.18308;0.17456;4.41137;2.00000;0.00000
3.58252;15.50485;156.14801;32.85686;1.03883;0.57282;0.46214;44.67290;55.32710;0.43689;0.13592;42.05607;13.08411;14.94312;1.48111;0.10192;9.05182;-22.54962;80.52117;1.34202;115.51402;19.60525;0.08076;0.06493;0.10640;8.47464;4.02765;3.85520;3.22092;9.69777;4.53053;1.33333;1.39414;0.76873;2.99029;15.01942;393.25946;88.74406;1.03236;0.59547;0.43689;42.31975;57.68025;0.46214;0.13592;44.76489;13.16614;14.58446;1.55047;0.08533;20.57278;-56.14460;80.52117;1.34202;116.23824;19.60525;0.08076;0.06493;0.10640;8.51876;4.15977;3.86034;3.27131;9.75776;4.53519;1.33333;1.38545;0.79913;-3.18066;86.31534;91.91905;-0.62500;3.87812;-5.61555;-5.40999;4.16459;5.61555;0.00000;6.24000;0.62500;-2.42931;4.57536;-17.72430;77.77972;85.38108;0.62500;0.52114;3.24687;0.04015;1.70400;1.03696;0.18308;-0.62500;3.87812;2.00000;0.00000
4.46602;15.22330;159.41524;24.04308;1.01578;0.53398;0.48544;47.61051;52.38949;0.43981;0.09102;43.29749;8.96057;13.08977;1.44719;0.13472;9.53607;-22.79548;89.24188;1.48736;118.13620;19.60525;0.08076;0.06493;0.10640;8.47464;4.02765;3.85520;3.22092;9.69777;4.53053;1.45455;1.51083;0.79422;3.84466;15.88350;404.86226;82.47042;1.02157;0.57929;0.43981;43.17318;56.82682;0.48544;0.09223;47.51848;9.02851;14.21817;1.53263;0.08204;21.49975;-56.15559;89.24188;1.48736;117.46568;19.60525;0.08076;0.06493;0.10640;8.51876;4.15977;3.86034;3.27131;9.75776;4.53519;1.33333;1.51945;0.86161;4.24469;86.99515;109.70879;0.56920;8.13953;-9.86359;-9.77562;8.12577;9.86359;1.32450;9.29570;0.75532;8.26430;5.73454;-48.61256;77.09592;84.50833;-0.56920;0.52114;3.24687;0.04015;1.70400;1.03696;0.18308;0.56920;8.13953;2.00000;0.00000
4.34951;15.23301;162.35225;38.01769;1.02306;0.57646;0.44444;43.54817;56.45183;0.43495;0.14199;42.51483;13.87900;13.77401;1.52155;0.08440;8.89258;-22.68873;88.20696;1.47012;117.29537;19.60525;0.08076;0.06493;0.10640;8.47464;4.02765;3.85520;3.22092;9.69777;4.53053;1.45455;1.50401;0.84746;3.76699;15.93204;402.20459;75.65288;1.03236;0.59655;0.43495;42.17346;57.82654;0.44444;0.14199;43.05120;13.75392;13.62628;1.43462;0.08323;20.33844;-57.31231;88.20696;1.47012;116.23824;19.60525;0.08076;0.06493;0.10640;8.51876;4.15977;3.86034;3.27131;9.75776;4.53519;1.33333;1.51769;0.87699;4.48598;84.97013;66.21799;0.90533;3.42568;-2.15898;-3.20740;2.40591;2.15898;-0.00000;1.25371;-0.90533;-1.07834;-5.88146;-1.39567;78.31315;86.55781;-0.90533;0.52114;3.24687;0.04015;1.70400;1.03696;0.18308;0.90533;3.42568;2.00000;0.00000
3.97087;15.95146;156.92361;35.32412;1.03991;0.57497;0.46990;44.94813;55.05187;0.44078;0.14239;42.38589;13.69295;15.29016;1.51617;0.12424;9.19735;-22.51483;80.12966;1.33549;115.39419;19.60525;0.08076;0.06493;0.10640;8.47464;4.02765;3.85520;3.22092;9.69777;4.53053;1.33333;1.38880;0.76787;3.33981;15.43689;392.52043;73.52108;1.03236;0.59978;0.44078;42.29885;57.70115;0.46990;0.13161;45.51724;12.74817;14.21632;1.49244;0.10468;19.32905;-57.61000;80.12966;1.33549;116.23824;19.60525;0.08076;0.06493;0.10640;8.51876;4.15977;3.86034;3.27131;9.75776;4.53519;1.33333;1.37871;0.80101;-3.27869;85.75826;70.18585;-0.72879;4.22406;-6.39659;-6.07306;4.69927;6.39659;-7.87402;7.12455;-7.14625;-7.27869;-1.57724;-17.09158;71.03383;87.60125;0.72879;0.52114;3.24687;0.04015;1.70400;1.03696;0.18308;-0.72879;4.22406;2.00000;0.00000
3.19417;15.19417;162.04901;51.15264;1.02481;0.59115;0.43301;42.28421;57.71579;0.41165;0.18015;40.16842;17.57895;13.84541;1.45166;0.08315;9.44717;-21.99233;80.39024;1.33984;117.09474;19.60525;0.08076;0.06493;0.10640;8.47464;4.02765;3.85520;3.22092;9.69777;4.53053;1.33333;1.37308;0.79205;3.81553;15.75728;394.99585;96.05634;1.02697;0.61597;0.41165;40.05252;59.94748;0.43301;0.18231;42.16387;17.75210;13.79494;1.38739;0.05989;19.73567;-55.92102;80.39024;1.33984;116.84874;19.60525;0.08076;0.06493;0.10640;8.51876;4.15977;3.86034;3.27131;9.75776;4.53519;1.33333;1.37597;0.82529;3.63864;83.63665;61.00674;0.21030;4.11081;-5.05747;-5.42088;3.79335;5.05747;1.19048;4.84730;0.98018;-0.36518;-4.52754;-32.52204;70.51061;87.09338;-0.21030;0.52114;3.24687;0.04015;1.70400;1.03696;0.18308;0.21030;4.11081;2.00000;0.00000
3.81553;15.75728;159.39970;35.73925;1.02805;0.56742;0.46505;45.02099;54.97901;0.41748;0.15210;40.60860;14.79538;13.25540;1.31795;0.11870;9.31306;-22.69257;80.39024;1.33984;116.72613;19.60525;0.08076;0.06493;0.10640;8.47464;4.02765;3.85520;3.22092;9.69777;4.53053;1.33333;1.37742;0.76025;3.17476;15.21359;406.09735;95.94152;1.03452;0.61920;0.41748;40.25026;59.74974;0.46505;0.15102;44.95308;14.59854;11.94410;1.27337;0.05926;20.52576;-56.57853;80.39024;1.33984;115.99583;19.60525;0.08076;0.06493;0.10640;8.51876;4.15977;3.86034;3.27131;9.75776;4.53519;1.33333;1.38609;0.82963;-3.51097;87.24985;91.43669;0.62762;8.72727;-10.78108;-11.18953;8.31653;10.78108;-0.71174;10.15518;-1.33934;-10.40737;-3.44043;-66.80481;75.15510;85.49387;-0.62762;0.52114;3.24687;0.04015;1.70400;1.03696;0.18308;0.62762;8.72727;2.00000;0.00000
4.15534;14.92233;158.65945;42.29059;1.01456;0.56675;0.44552;44.02578;55.97422;0.43495;0.13107;42.87081;12.91866;13.10504;1.43894;0.09107;9.38255;-21.98296;89.16141;1.48602;118.27751;19.60525;0.08076;0.06493;0.10640;8.47464;4.02765;3.85520;3.22092;9.69777;4.53053;1.45455;1.50766;0.84220;3.55340;15.45631;399.78241;90.09943;1.02373;0.58684;0.43495;42.58166;57.41834;0.44552;0.13350;43.51949;13.04004;15.12420;1.60515;0.08655;21.17167;-56.72179;89.16141;1.48602;117.21812;19.60525;0.08076;0.06493;0.10640;8.51876;4.15977;3.86034;3.27131;9.75776;4.53519;1.33333;1.52129;0.87206;3.51550;86.35562;72.22424;0.89971;3.48334;-2.40137;-3.33486;2.54711;2.40137;1.83486;1.50174;0.93519;14.30551;10.92031;-5.08732;77.16856;88.27632;-0.89971;0.52114;3.24687;0.04015;1.70400;1.03696;0.18308;0.89971;3.48334;2.00000;0.00000
3.95146;16.30097;154.93639;46.03167;1.05178;0.60518;0.45340;42.78462;57.21538;0.45049;0.15210;42.83077;14.46154;15.26476;1.50785;0.10435;9.28794;-22.11503;78.04262;1.30071;114.09231;19.60525;0.08076;0.06493;0.10640;8.47464;4.02765;3.85520;3.22092;9.69777;4.53053;1.33333;1.36806;0.78716;3.36893;15.66990;391.33473;70.13422;1.06688;0.61381;0.45049;42.34580;57.65420;0.45340;0.16073;42.49747;15.06572;12.97400;1.40800;0.12425;19.65425;-57.26881;78.04262;1.30071;112.47725;19.60525;0.08076;0.06493;0.10640;8.51876;4.15977;3.86034;3.27131;9.75776;4.53519;1.33333;1.38770;0.79839;-3.94777;86.54982;41.49677;1.42566;1.41593;-0.64447;-1.03092;0.76402;0.64447;5.51724;-0.78121;4.09238;-16.22422;-6.84834;17.41753;71.63458;88.56657;-1.42566;0.52114;3.24687;0.04015;1.70400;1.03696;0.18308;1.42566;1.41593;2.00000;0.00000
